index,team_id,score,TeamCapture,NonTeamCapture,job_num,task_num,results_dir,num_rows,align_weight~t~1,autonomy~t~1,avoid_nonteam_weight~t~1,avoid_team_weight~t~1,centroid_weight~t~1,comms_range~t~1,fov_az~t~1,fov_el~t~1,goal_weight~t~1,max_pred_speed~t~1,max_speed~t~1,sphere_of_influence~t~1,motion_model~t~1,vel_max~t~1,motion_model~predator,pitch_rate_max~predator,turn_rate_max~predator,vel_max~predator,align_weight~t~2~predator,allow_prey_switching~t~2~predator,autonomy~t~2~predator,avoid_nonteam_weight~t~2~predator,avoid_team_weight~t~2~predator,capture_range~t~2~predator,centroid_weight~t~2~predator,comms_range~t~2~predator,max_pred_speed~t~2~predator,max_speed~t~2~predator,align_weight~t~3~predator,allow_prey_switching~t~3~predator,autonomy~t~3~predator,avoid_nonteam_weight~t~3~predator,avoid_team_weight~t~3~predator,capture_range~t~3~predator,centroid_weight~t~3~predator,comms_range~t~3~predator,max_pred_speed~t~3~predator,max_speed~t~3~predator
39,3,21.0,0.0,21.0,11073,3,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_3/,2.0,26.9029906173,Boids,41.4334062588,6.45680572657,16.4776471658,770,360,360,0.1,27,10,100,Unicycle,30,Unicycle,1.5,2,35,27.2112048598,true,PredatorUnique,5.14654691445,49.7363635388,5,27.3112308049,971,44,37,4.39423905952,false,PredatorUnique,39.5219588201,10.1281846185,5,27.9878593129,129,23,30
40,,,,,,,,,42.3699463488,Boids,29.9567542068,37.8676981135,6.60106981183,316,360,360,0.1,10,36,100,Unicycle,30,Unicycle,1.5,2,35,18.7697981848,true,PredatorUnique,46.2156562828,25.7677704656,5,33.3555768383,298,24,10,24.5890664092,false,PredatorUnique,34.8720396356,21.4275000128,5,40.5633117411,839,13,32
41,2,7.0,0.0,7.0,11073,33,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_33/,2.0,20.1139054882,Boids,26.0532107618,6.6296848854,26.1338002329,378,360,360,0.1,48,44,100,Unicycle,30,Unicycle,1.5,2,35,7.70879270668,true,PredatorUnique,20.3751134839,19.4186983823,5,18.4525111607,413,37,35,32.9794248069,false,PredatorUnique,31.2375055428,11.5913264545,5,17.416343766,849,35,47
42,3,9.0,0.0,9.0,11073,33,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_33/,2.0,20.1139054882,Boids,26.0532107618,6.6296848854,26.1338002329,378,360,360,0.1,48,44,100,Unicycle,30,Unicycle,1.5,2,35,7.70879270668,true,PredatorUnique,20.3751134839,19.4186983823,5,18.4525111607,413,37,35,32.9794248069,false,PredatorUnique,31.2375055428,11.5913264545,5,17.416343766,849,35,47
43,,,,,,,,,5.86093764823,Boids,22.3906023779,26.21755388,14.7192696367,662,360,360,0.1,14,37,100,Unicycle,30,Unicycle,1.5,2,35,39.6746008229,true,PredatorUnique,31.4171445757,1.73324560417,5,14.9032319338,447,22,14,2.03707669616,false,PredatorUnique,40.4339438307,25.1859142927,5,38.5059262007,998,14,33
44,2,1.0,0.0,1.0,11073,35,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_35/,2.0,11.2804340602,Boids,5.40248242003,34.4263534855,21.2577290254,179,360,360,0.1,27,25,100,Unicycle,30,Unicycle,1.5,2,35,20.6894033133,true,PredatorUnique,20.6618226375,4.94916060835,5,15.423020855,295,21,19,29.7070632647,false,PredatorUnique,13.3390555657,42.2929701925,5,34.725459727,953,27,47
45,3,4.0,0.0,4.0,11073,35,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_35/,2.0,11.2804340602,Boids,5.40248242003,34.4263534855,21.2577290254,179,360,360,0.1,27,25,100,Unicycle,30,Unicycle,1.5,2,35,20.6894033133,true,PredatorUnique,20.6618226375,4.94916060835,5,15.423020855,295,21,19,29.7070632647,false,PredatorUnique,13.3390555657,42.2929701925,5,34.725459727,953,27,47
46,2,20.0,0.0,20.0,11073,36,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_36/,1.0,28.2391695588,Boids,7.03892320258,23.3644712592,38.9836796909,867,360,360,0.1,11,40,100,Unicycle,30,Unicycle,1.5,2,35,29.1949599008,true,PredatorUnique,41.3122746042,16.0156658641,5,43.088137847,326,35,45,39.3192809347,false,PredatorUnique,18.6007937859,45.7240774227,5,37.9719855868,810,17,28
47,2,6.0,0.0,6.0,11073,37,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_37/,1.0,17.0608219673,Boids,21.5595196237,24.5300402665,34.1715679658,452,360,360,0.1,47,21,100,Unicycle,30,Unicycle,1.5,2,35,40.4345671241,true,PredatorUnique,31.0559944944,33.8828088924,5,11.0085770348,807,26,34,13.2067764654,false,PredatorUnique,14.1572831743,43.814551133,5,34.5471348509,410,15,19
48,2,1.0,0.0,1.0,11073,38,/Users/lauraS/sample-data/2018-02-24_13-55-45_job_11073_task_38/,1.0,18.3261115469,Boids,14.1481076576,45.0110605671,42.0194160959,800,360,360,0.1,18,38,100,Unicycle,30,Unicycle,1.5,2,35,37.1678894771,true,PredatorUnique,30.3857015939,48.4328472795,5,30.1605400596,519,31,18,15.1594098007,false,PredatorUnique,19.3406154352,5.22098509898,5,33.1343282888,433,25,37
