team_id,TeamCapture,NonTeamCapture,job_num,task_num,results_dir,num_rows,align_weight_t_1,avoid_nonteam_weight_t_1,avoid_team_weight_t_1,centroid_weight_t_1,comms_range_t_1,fov_az_t_1,fov_el_t_1,goal_weight_t_1,max_speed_t_1,sphere_of_influence_t_1,turn_rate_max_t_1,vel_max_t_1,pitch_rate_max_predator,turn_rate_max_predator,vel_max_predator,allow_prey_switching_t_2_predator
1,0.0,0.0,41652,990,2018-04-22_08-37-14_job_41652_task_990,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41652,990,2018-04-22_08-37-14_job_41652_task_990,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41652,992,2018-04-22_08-37-14_job_41652_task_992,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41652,992,2018-04-22_08-37-14_job_41652_task_992,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41652,994,2018-04-22_08-37-14_job_41652_task_994,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41652,994,2018-04-22_08-37-14_job_41652_task_994,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41652,996,2018-04-22_08-37-14_job_41652_task_996,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41652,996,2018-04-22_08-37-14_job_41652_task_996,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41652,998,2018-04-22_08-37-14_job_41652_task_998,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41652,998,2018-04-22_08-37-14_job_41652_task_998,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41652,999,2018-04-22_08-37-14_job_41652_task_999,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41652,999,2018-04-22_08-37-14_job_41652_task_999,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41653,990,2018-04-22_08-37-45_job_41653_task_990,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41653,990,2018-04-22_08-37-45_job_41653_task_990,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41653,992,2018-04-22_08-37-45_job_41653_task_992,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41653,992,2018-04-22_08-37-45_job_41653_task_992,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41653,994,2018-04-22_08-37-45_job_41653_task_994,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41653,994,2018-04-22_08-37-45_job_41653_task_994,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41653,999,2018-04-22_08-37-45_job_41653_task_999,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41653,999,2018-04-22_08-37-45_job_41653_task_999,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41653,996,2018-04-22_08-37-46_job_41653_task_996,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41653,996,2018-04-22_08-37-46_job_41653_task_996,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41653,998,2018-04-22_08-37-46_job_41653_task_998,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41653,998,2018-04-22_08-37-46_job_41653_task_998,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41654,990,2018-04-22_08-38-15_job_41654_task_990,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41654,990,2018-04-22_08-38-15_job_41654_task_990,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41654,996,2018-04-22_08-38-15_job_41654_task_996,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41654,996,2018-04-22_08-38-15_job_41654_task_996,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41654,992,2018-04-22_08-38-16_job_41654_task_992,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41654,992,2018-04-22_08-38-16_job_41654_task_992,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41654,994,2018-04-22_08-38-16_job_41654_task_994,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41654,994,2018-04-22_08-38-16_job_41654_task_994,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41654,998,2018-04-22_08-38-16_job_41654_task_998,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41654,998,2018-04-22_08-38-16_job_41654_task_998,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
1,0.0,0.0,41654,999,2018-04-22_08-38-16_job_41654_task_999,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
2,0.0,0.0,41654,999,2018-04-22_08-38-16_job_41654_task_999,2,0.5,10,1,1,200,360,360,0.1,50,100,0.25,50,1.5,0.25,50,False
