index,team_id,score,TeamCapture,NonTeamCapture,job_num,task_num,results_dir,num_rows,align_weight_t_1,autonomy_t_1,avoid_nonteam_weight_t_1,avoid_team_weight_t_1,centroid_weight_t_1,comms_range_t_1,fov_az_t_1,fov_el_t_1,goal_weight_t_1,max_speed_t_1,sphere_of_influence_t_1,motion_model_t_1,turn_rate_max_t_1,vel_max_t_1,motion_model_predator,pitch_rate_max_predator,turn_rate_max_predator,vel_max_predator,allow_prey_switching_t_2_predator,autonomy_t_2_predator,max_speed_t_2_predator
23,2,6.0,0.0,6.0,42260,20,2018-04-24_23-57-29_job_42260_task_20,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
24,1,0.0,0.0,0.0,42260,23,2018-04-24_23-57-29_job_42260_task_23,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
25,2,6.0,0.0,6.0,42260,23,2018-04-24_23-57-29_job_42260_task_23,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
26,1,0.0,0.0,0.0,42260,24,2018-04-24_23-57-29_job_42260_task_24,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
27,2,8.0,0.0,8.0,42260,24,2018-04-24_23-57-29_job_42260_task_24,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
28,1,0.0,0.0,0.0,42260,25,2018-04-24_23-57-29_job_42260_task_25,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
29,2,5.0,0.0,5.0,42260,25,2018-04-24_23-57-29_job_42260_task_25,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
30,1,0.0,0.0,0.0,42260,26,2018-04-24_23-57-29_job_42260_task_26,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
31,2,33.0,0.0,33.0,42260,26,2018-04-24_23-57-29_job_42260_task_26,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
32,1,0.0,0.0,0.0,42260,27,2018-04-24_23-57-29_job_42260_task_27,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
33,2,5.0,0.0,5.0,42260,27,2018-04-24_23-57-29_job_42260_task_27,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
34,1,0.0,0.0,0.0,42260,28,2018-04-24_23-57-29_job_42260_task_28,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
35,2,9.0,0.0,9.0,42260,28,2018-04-24_23-57-29_job_42260_task_28,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
36,1,0.0,0.0,0.0,42260,29,2018-04-24_23-57-29_job_42260_task_29,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
37,2,5.0,0.0,5.0,42260,29,2018-04-24_23-57-29_job_42260_task_29,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
38,1,0.0,0.0,0.0,42260,3,2018-04-24_23-57-29_job_42260_task_3,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
39,2,6.0,0.0,6.0,42260,3,2018-04-24_23-57-29_job_42260_task_3,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
40,1,0.0,0.0,0.0,42260,30,2018-04-24_23-57-29_job_42260_task_30,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
41,2,6.0,0.0,6.0,42260,30,2018-04-24_23-57-29_job_42260_task_30,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
42,1,0.0,0.0,0.0,42260,31,2018-04-24_23-57-29_job_42260_task_31,2,0.5,Boids,10,1,1,200,360,360,0.1,25,100,Unicycle,0.25,25,Unicycle,1.5,0.5,30,false,Predator,30
